,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,ESTU_CONSECUTIVO,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_NUMLIBROS,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_CODIGO_ICFES,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,ESTU_PRIVADO_LIBERTAD,PUNT_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PUNT_MATEMATICAS,PERCENTIL_MATEMATICAS,DESEMP_MATEMATICAS,PUNT_C_NATURALES,PERCENTIL_C_NATURALES,DESEMP_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_GLOBAL,PERCENTIL_GLOBAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_ESTADOINVESTIGACION,ESTU_GENERACION.E
45515,TI,COLOMBIA,F,25/02/2001,SB11201820366525,COLOMBIA,No,Estrato 2,3 a 4,Si,No,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,26658,INSTITUCION EDUCATIVA UNIVERSITARIO DE CALDAS,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA INSTITUTO UNIVERSITARIO DE CALDAS,S,URBANO,TARDE,17001,MANIZALES,N,47,30,2,54,63,3,46,40,2,44,40,2,36,9,A-,234,40,3,49.19983817,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
45538,TI,COLOMBIA,F,28/11/2001,SB11201820557605,COLOMBIA,No,Estrato 2,-,Si,Si,Si,11 A 25 LIBROS,30 minutos o menos,30 minutos o menos,226415,INSTITUCION EDUCATIVA ALFONSO LOPEZ,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA ALFONSO LOPEZ - SEDE PRINCIPAL,S,URBANO,TARDE,17380,LA DORADA,N,33,2,1,32,6,1,33,4,1,26,2,1,39,17,A-,158,1,2,53.38561081,NSE3,PUBLICAR,NO
45568,TI,COLOMBIA,F,08/06/2001,SB11201820315116,COLOMBIA,No,Estrato 1,3 a 4,Si,No,No,0 A 10 LIBROS,Más de 2 horas,Más de 3 horas,26658,INSTITUCION EDUCATIVA UNIVERSITARIO DE CALDAS,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA INSTITUTO UNIVERSITARIO DE CALDAS,S,URBANO,TARDE,17001,MANIZALES,N,49,39,2,50,50,2,53,63,2,56,74,3,55,67,A1,261,60,3,47.0091476,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
45573,TI,COLOMBIA,F,25/10/2000,SB11201820176586,COLOMBIA,No,Estrato 2,5 a 6,Si,Si,Si,0 A 10 LIBROS,No leo por entretenimiento,30 minutos o menos,116996,INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE,S,URBANO,MAÑANA,17001,MANIZALES,N,43,17,2,28,3,1,27,1,1,25,1,1,41,20,A-,158,1,2,60.96591917,NSE3,PUBLICAR,NO
45665,TI,COLOMBIA,F,28/11/2001,SB11201820322267,COLOMBIA,Si,Estrato 1,3 a 4,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,125633,INSTITUCION EDUCATIVA CAÑAMOMO Y LOMAPRIETA,MIXTO,OFICIAL,A,-,TÉCNICO,INSTITUCION EDUCATIVA CAÑAMOMO Y LOMAPRIETA - SEDE PRINCIPAL,S,RURAL,COMPLETA,17777,SUPÍA,N,49,38,2,40,22,2,50,53,2,44,39,2,42,23,A-,227,35,2,43.26388988,NSE2,PUBLICAR,NO
45800,TI,COLOMBIA,F,25/02/2001,SB11201820107248,COLOMBIA,No,Estrato 1,5 a 6,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,6379,INSTITUCION EDUCATIVA SAN FRANCISCO DE PAULA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCIÓN EDUCATIVA SAN FRANCISCO DE PAULA - SEDE PRINCIPAL,S,URBANO,MAÑANA,17174,CHINCHINÁ,N,42,15,2,40,20,2,42,27,2,29,3,1,41,22,A-,192,13,2,54.36900345,NSE3,PUBLICAR,NO
45859,CC,COLOMBIA,F,23/09/1999,SB11201820588714,COLOMBIA,No,Estrato 1,5 a 6,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,6742,INSTITUCION EDUCATIVA LOS FUNDADORES,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA LOS FUNDADORES - SEDE PRINCIPAL,S,URBANO,MAÑANA,17614,RIOSUCIO,N,55,60,3,60,79,3,59,80,3,57,75,3,53,63,A1,287,76,2,53.37417261,NSE3,PUBLICAR,NO
45894,TI,COLOMBIA,F,28/10/2001,SB11201820044891,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,No,0 A 10 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,225771,INSTITUCIÓN EDUCATIVA FE Y ALEGRIA LA PAZ,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA FE Y ALEGRIA LA PAZ,S,URBANO,UNICA,17001,MANIZALES,N,54,57,3,53,59,3,48,47,2,47,51,2,52,59,A1,253,54,3,48.33797674,NSE2,PUBLICAR,NO
45896,TI,COLOMBIA,F,16/05/2000,SB11201820273186,COLOMBIA,No,Estrato 2,1 a 2,Si,Si,No,0 A 10 LIBROS,30 minutos o menos,Más de 3 horas,6304,INSTITUCION EDUCATIVA AURELIANO FLOREZ CARDONA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCIÓN EDUCATIVA AURELIANO FLOREZ CARDONA  - SEDE PRINCIPAL,S,URBANO,MAÑANA,17042,ANSERMA,N,70,96,4,52,57,3,65,92,3,65,91,3,59,79,A2,313,88,2,49.22526273,NSE2,PUBLICAR,NO
45914,TI,COLOMBIA,F,01/05/2002,SB11201820102384,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,11 A 25 LIBROS,No leo por entretenimiento,Más de 3 horas,38695,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN - SEDE PRINCIPAL,S,URBANO,MAÑANA,17380,LA DORADA,N,55,60,3,47,41,2,38,15,1,53,66,2,49,48,A1,242,46,2,50.5466719,NSE2,PUBLICAR,NO
45920,TI,COLOMBIA,F,21/02/2002,SB11201820521646,COLOMBIA,No,Estrato 2,3 a 4,No,-,No,0 A 10 LIBROS,Entre 1 y 2 horas,No Navega Internet,347914,INSTITUCION EDUCATIVA LA LIBERTAD,MIXTO,OFICIAL,A,-,ACADÉMICO,ESCUELA MORRO AZUL,N,RURAL,COMPLETA,17665,SAN JOSÉ,N,50,40,2,46,38,2,49,51,2,47,49,2,38,14,A-,236,42,2,33.71658778,NSE1,PUBLICAR,NO
45989,TI,COLOMBIA,F,01/08/2001,SB11201820120035,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,0 A 10 LIBROS,No leo por entretenimiento,Más de 3 horas,38695,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN - SEDE PRINCIPAL,S,URBANO,MAÑANA,17380,LA DORADA,N,48,35,2,50,50,2,52,60,2,41,32,2,51,57,A1,240,45,2,63.03782135,NSE3,PUBLICAR,NO
46025,TI,COLOMBIA,F,12/12/2000,SB11201820455258,COLOMBIA,No,Estrato 1,5 a 6,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,709816,INSTITUCION EDUCATIVA DORADA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA DORADA - SEDE PRINCIPAL,S,URBANO,UNICA,17380,LA DORADA,N,45,24,2,38,15,2,37,13,1,41,32,2,46,38,A-,203,19,2,39.70472263,NSE1,PUBLICAR,NO
46088,TI,COLOMBIA,F,20/12/2000,SB11201820267677,COLOMBIA,Si,Estrato 1,5 a 6,No,No,No,0 A 10 LIBROS,No leo por entretenimiento,30 minutos o menos,71530,INSTITUCIONEDUCATIVA LA IBERIA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA LA IBERIA - SEDE PRINCIPAL,S,RURAL,MAÑANA,17614,RIOSUCIO,N,51,45,3,45,33,2,46,39,2,48,52,2,46,37,A-,237,42,1,27.8041171,NSE1,PUBLICAR,NO
46100,TI,COLOMBIA,F,24/01/2002,SB11201820190140,COLOMBIA,No,Sin Estrato,3 a 4,No,No,No,26 A 100 LIBROS,Entre 30 y 60 minutos,Más de 3 horas,6510,INSTITUCION EDUCATIVA JUAN XXIII,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA JUAN XXIII - SEDE PRINCIPAL,S,URBANO,COMPLETA,17444,MARQUETALIA,N,61,80,3,51,54,3,58,78,3,63,89,3,53,61,A1,289,77,2,36.34351881,NSE1,PUBLICAR,NO
46126,TI,COLOMBIA,F,09/12/2001,SB11201820164020,COLOMBIA,No,Sin Estrato,3 a 4,Si,Si,Si,0 A 10 LIBROS,Más de 2 horas,Entre 1 y 3 horas,38695,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN - SEDE PRINCIPAL,S,URBANO,MAÑANA,17380,LA DORADA,N,53,50,3,46,37,2,38,14,1,46,47,2,49,47,A1,230,37,2,54.23159806,NSE3,PUBLICAR,GENERACION E - GRATUIDAD
46146,CC,COLOMBIA,F,23/09/1997,SB11201820189309,COLOMBIA,No,Estrato 2,5 a 6,No,No,Si,0 A 10 LIBROS,No leo por entretenimiento,No Navega Internet,171413,INSTITUCIÓN EDUCATIVA LA SULTANA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA LA SULTANA,S,URBANO,SABATINA,17001,MANIZALES,N,42,15,2,38,16,2,36,10,1,34,12,1,34,6,A-,186,10,2,54.29646694,NSE3,PUBLICAR,GENERACION E - GRATUIDAD
46157,TI,COLOMBIA,F,25/10/2000,SB11201820361028,COLOMBIA,No,Estrato 1,5 a 6,No,Si,Si,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,81562,INSTITUCION EDUCATIVA ALEGRIAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA ALEGRIAS - SEDE PRINCIPAL,S,RURAL,COMPLETA,17050,ARANZAZU,N,51,46,3,33,8,1,48,47,2,52,63,2,49,49,A1,231,38,1,42.63187381,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
46256,CC,COLOMBIA,F,01/04/1999,SB11201820479660,COLOMBIA,No,Estrato 2,3 a 4,No,Si,No,11 A 25 LIBROS,30 minutos o menos,Más de 3 horas,226803,INSTITUCION EDUCATIVA MARIA INMACULADA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA MARIA INMACULADA - SEDE PRINCIPAL,S,URBANO,MAÑANA,17616,RISARALDA,N,48,35,2,42,26,2,47,45,2,46,48,2,42,23,A-,227,35,1,43.42048193,NSE2,PUBLICAR,NO
46364,CC,COLOMBIA,F,25/12/1999,SB11201820576991,COLOMBIA,No,Estrato 1,7 a 8,No,Si,No,11 A 25 LIBROS,30 minutos o menos,Entre 1 y 3 horas,89649,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL,S,URBANO,NOCHE,17777,SUPÍA,N,39,10,2,45,33,2,36,11,1,38,21,1,32,3,A-,195,14,2,47.09486475,NSE2,PUBLICAR,NO
46473,TI,COLOMBIA,F,27/10/2000,SB11201820436080,COLOMBIA,No,Estrato 1,9 o más,No,Si,No,0 A 10 LIBROS,Entre 30 y 60 minutos,30 minutos o menos,89698,INSTITUCION EDUCATIVA DULCE NOMBRE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA DULCE NOMBRE - SEDE PRINCIPAL,S,RURAL,COMPLETA,17662,SAMANÁ,N,50,40,2,51,52,3,48,46,2,48,53,2,56,72,A1,249,51,2,32.53849376,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
46501,TI,COLOMBIA,F,07/07/2003,SB11201820400367,COLOMBIA,No,Estrato 2,5 a 6,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,139881,INSTITUCION EDUCATIVA ENCIMADAS,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA ENCIMADAS - SEDE PRINCIPAL,S,RURAL,COMPLETA,17013,AGUADAS,N,46,27,2,39,18,2,42,25,2,29,3,1,33,4,A-,193,13,2,43.23151852,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
46601,TI,COLOMBIA,F,08/06/2001,SB11201820422855,COLOMBIA,No,Estrato 4,3 a 4,Si,Si,Si,26 A 100 LIBROS,Entre 1 y 2 horas,Más de 3 horas,5934,COL. NTRA SRA. DE LOS ANGELES,FEMENINO,NO OFICIAL,A,N,ACADÉMICO,COL. NTRA SRA. DE LOS ANGELES,S,URBANO,MAÑANA,17001,MANIZALES,N,69,95,4,70,95,3,63,90,3,71,98,4,76,98,B1,344,97,3,57.2154563,NSE3,PUBLICAR,NO
46649,TI,COLOMBIA,F,27/08/1998,SB11201820461127,COLOMBIA,No,Estrato 2,9 o más,No,No,Si,MÁS DE 100 LIBROS,Entre 1 y 2 horas,Más de 3 horas,64246,INSTITUCION EDUCATIVA RENAN BARCO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA RENAN BARCO - SEDE PRINCIPAL,S,URBANO,MAÑANA,17380,LA DORADA,N,40,11,2,20,1,1,35,7,1,33,10,1,30,2,A-,159,2,2,43.48714775,NSE2,PUBLICAR,NO
46692,TI,COLOMBIA,F,15/11/2000,SB11201820315326,COLOMBIA,Si,Sin Estrato,3 a 4,No,No,No,11 A 25 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,183657,INSTITUCION EDUCATIVA FLORENCIA,MIXTO,OFICIAL,A,-,ACADÉMICO,INSTITUCION EDUCATIVA FLORENCIA - SEDE PRINCIPAL,S,RURAL,COMPLETA,17614,RIOSUCIO,N,56,64,3,46,36,2,43,30,2,42,33,2,46,35,A-,233,40,1,46.03060993,NSE2,PUBLICAR,NO
46715,CC,COLOMBIA,F,12/04/1997,SB11201820430444,COLOMBIA,No,Estrato 2,3 a 4,No,No,No,MÁS DE 100 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,89649,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL,S,URBANO,NOCHE,17777,SUPÍA,N,35,4,1,35,10,1,37,12,1,33,9,1,40,19,A-,177,6,2,48.40379315,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
46717,TI,COLOMBIA,F,15/01/2002,SB11201820050440,COLOMBIA,No,Estrato 2,3 a 4,No,Si,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,345785,INSTITUCION EDUCATIVA LAS COLES,MIXTO,OFICIAL,A,N,TÉCNICO,CENTRO EDUCATIVO LOS MEDIOS,N,RURAL,COMPLETA,17513,PÁCORA,N,51,46,3,43,29,2,41,24,2,39,24,1,47,41,A-,219,29,2,42.43559868,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
46807,CC,COLOMBIA,F,08/09/1997,SB11201820525821,COLOMBIA,No,Estrato 1,1 a 2,No,Si,Si,11 A 25 LIBROS,No leo por entretenimiento,No Navega Internet,52407,INSTITUCION EDUCATIVA GREGORIO GUTIERREZ GONZALEZ,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA GREGORIO GUTIERREZ GONZALEZ - SEDE PRINCIPAL,S,RURAL,COMPLETA,17433,MANZANARES,N,42,17,2,32,7,1,37,12,1,38,21,1,42,23,A-,188,10,1,45.17676625,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
46827,TI,COLOMBIA,F,03/06/2001,SB11201820175767,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,26 A 100 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,6833,INSTITUCION EDUCATIVA SAN FELIX,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA SAN FELIX - SEDE PRINCIPAL,S,RURAL,COMPLETA,17653,SALAMINA,N,52,47,3,44,32,2,41,24,2,28,3,1,37,10,A-,205,20,2,56.52917551,NSE3,PUBLICAR,GENERACION E - GRATUIDAD
46849,TI,COLOMBIA,F,15/11/2001,SB11201820440438,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,11 A 25 LIBROS,Entre 1 y 2 horas,Más de 3 horas,226175,INSTITUCION EDUCATIVA SANTA TERESITA,FEMENINO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA SANTA TERESITA - SEDE PRINCIPAL,S,URBANO,MAÑANA,17174,CHINCHINÁ,N,75,99,4,64,87,3,66,94,3,64,90,3,77,98,B1,340,96,3,52.7686225,NSE3,PUBLICAR,GENERACION E - GRATUIDAD
46905,CC,COLOMBIA,M,14/03/1994,SB11201820352901,COLOMBIA,No,Estrato 3,5 a 6,Si,Si,Si,26 A 100 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,188797,INSTITUCIÓN EDUCATIVA GRAN COLOMBIA,MIXTO,OFICIAL,A,-,ACADÉMICO,ISNTITUCIÓN EDUCATIVA GRAN COLOMBIA,S,URBANO,NOCHE,17001,MANIZALES,N,51,44,3,61,81,3,49,49,2,54,68,2,53,64,A1,268,64,2,48.594906,NSE2,PUBLICAR,NO
46926,TI,COLOMBIA,F,21/02/2001,SB11201820323538,COLOMBIA,Si,Estrato 2,5 a 6,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,125633,INSTITUCION EDUCATIVA CAÑAMOMO Y LOMAPRIETA,MIXTO,OFICIAL,A,-,TÉCNICO,INSTITUCION EDUCATIVA CAÑAMOMO Y LOMAPRIETA - SEDE PRINCIPAL,S,RURAL,COMPLETA,17777,SUPÍA,N,62,82,3,43,29,2,53,64,2,49,55,2,49,50,A1,258,57,2,45.97407146,NSE2,PUBLICAR,NO
47009,TI,COLOMBIA,F,17/07/2001,SB11201820357493,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,31518,INSTITUCION EDUCATIVA DE OCCIDENTE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA DE OCCIDENTE - SEDE PRINCIPAL,S,URBANO,MAÑANA,17042,ANSERMA,N,51,46,3,47,41,2,48,47,2,40,27,1,47,39,A-,233,39,2,53.01353137,NSE3,PUBLICAR,NO
47052,TI,COLOMBIA,F,01/12/2000,SB11201820346001,COLOMBIA,No,Estrato 3,5 a 6,No,Si,Si,11 A 25 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,191106,LICEO INFANTIL APRENDER,MIXTO,NO OFICIAL,A,-,ACADÉMICO,LICEO INFANTIL APRENDER,S,URBANO,MAÑANA,17873,VILLAMARÍA,N,41,14,2,41,23,2,47,43,2,39,24,1,36,10,A-,208,22,3,46.30694488,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
47055,TI,COLOMBIA,F,26/04/2002,SB11201820113452,COLOMBIA,No,Estrato 3,5 a 6,Si,Si,Si,11 A 25 LIBROS,30 minutos o menos,Más de 3 horas,6551,INSTITUCION EDUCATIVA NEIRA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCIÓN EDUCATIVA NEIRA - SEDE PRINCIPAL,S,URBANO,MAÑANA,17486,NEIRA,N,60,75,3,48,45,2,56,72,3,60,83,3,42,23,A-,275,68,2,49.74558214,NSE2,PUBLICAR,NO
47071,TI,COLOMBIA,F,12/04/2002,SB11201820509398,COLOMBIA,Si,Estrato 1,3 a 4,No,Si,Si,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,153643,INSTITUCION EDUCATIVA MARMATO,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA MARMATO - SEDE PRINCIPAL,S,URBANO,MAÑANA,17442,MARMATO,N,61,79,3,52,55,3,55,70,2,60,82,3,51,57,A1,283,73,2,50.41140325,NSE2,PUBLICAR,NO
47084,TI,COLOMBIA,F,08/12/2000,SB11201820403148,COLOMBIA,No,Estrato 1,7 a 8,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,662361,INSTITUCIÓN EDUCATIVA ANDRES  BELLO,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA ANDRES  BELLO,S,URBANO,SABATINA,17001,MANIZALES,N,53,52,3,42,25,2,58,77,3,51,61,2,40,18,A-,251,52,2,49.21781551,NSE2,PUBLICAR,NO
47085,TI,COLOMBIA,F,07/08/2001,SB11201820285517,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,42341,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,S,URBANO,MAÑANA,17001,MANIZALES,N,68,93,4,68,93,3,76,100,4,73,99,4,67,92,A2,355,98,3,57.58849707,NSE3,PUBLICAR,NO
47146,CC,COLOMBIA,F,26/10/1999,SB11201820330728,COLOMBIA,No,Estrato 1,3 a 4,No,Si,Si,0 A 10 LIBROS,No leo por entretenimiento,Entre 30 y 60 minutos,188797,INSTITUCIÓN EDUCATIVA GRAN COLOMBIA,MIXTO,OFICIAL,A,-,ACADÉMICO,ISNTITUCIÓN EDUCATIVA GRAN COLOMBIA,S,URBANO,NOCHE,17001,MANIZALES,N,38,7,2,35,11,1,35,8,1,25,1,1,56,70,A1,175,5,2,48.14470093,NSE2,PUBLICAR,NO
47162,TI,COLOMBIA,F,19/01/2002,SB11201820164502,COLOMBIA,No,Estrato 1,5 a 6,Si,Si,Si,MÁS DE 100 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,49551,INSTITUCION EDUCATIVA EL TREBOL,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA EL TREBOL - SEDE PRINCIPAL,S,RURAL,MAÑANA,17174,CHINCHINÁ,N,53,51,3,46,38,2,49,49,2,41,31,2,47,39,A-,236,42,1,51.67963529,NSE3,PUBLICAR,NO
47169,TI,COLOMBIA,F,09/04/2002,SB11201820482687,COLOMBIA,No,Estrato 1,9 o más,Si,Si,Si,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,125658,INSTITUCION EDUCATIVA SAN PEDRO CLAVER,MIXTO,OFICIAL,A,-,ACADÉMICO,INSTITUCION EDUCATIVA SAN PEDRO CLAVER - SEDE PRINCIPAL,S,URBANO,MAÑANA,17873,VILLAMARÍA,N,56,62,3,61,80,3,53,64,2,50,58,2,52,59,A1,274,68,3,48.4801399,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
47207,CC,COLOMBIA,F,07/05/1998,SB11201820476097,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,175489,INSTITUCION EDUCATIVA MARIA INMACULADA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA MARIA INMACULADA - SEDE PRINCIPAL,S,URBANO,SABATINA,17616,RISARALDA,N,50,41,2,33,8,1,47,41,2,39,25,1,41,22,A-,211,24,1,47.38824019,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
47250,CC,COLOMBIA,F,31/07/1999,SB11201820419902,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,No,0 A 10 LIBROS,Entre 1 y 2 horas,Entre 30 y 60 minutos,225177,INSTITUCION EDUCATIVA SIETE DE AGOSTO,MIXTO,OFICIAL,A,-,ACADÉMICO,COLEGIO SIETE DE AGOSTO,S,URBANO,UNICA,17001,MANIZALES,N,62,81,3,53,60,3,52,59,2,52,63,2,44,31,A-,270,65,2,39.18273744,NSE1,PUBLICAR,NO
47259,TI,COLOMBIA,F,22/06/2001,SB11201820585237,COLOMBIA,No,Estrato 1,1 a 2,Si,No,No,MÁS DE 100 LIBROS,30 minutos o menos,Entre 1 y 3 horas,28738,INSTITUCION EDUCATIVA SAN GERARDO MARIA MAYELA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA SAN GERARDO MARIA MAYELA - SEDE PRINCIPAL,S,URBANO,MAÑANA,17495,NORCASIA,N,48,34,2,40,22,2,38,14,1,35,15,1,38,13,A-,200,17,2,49.10513063,NSE2,PUBLICAR,NO
47279,CC,COLOMBIA,M,30/06/1998,SB11201820461180,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,26 A 100 LIBROS,Entre 30 y 60 minutos,30 minutos o menos,93518,COLEGIO BOSTON,MIXTO,NO OFICIAL,A,N,ACADÉMICO,COLEGIO BOSTON - SEDE PRINCIPAL,S,URBANO,MAÑANA,17001,MANIZALES,N,46,27,2,61,82,3,53,65,2,36,17,1,43,28,A-,243,47,3,54.85259468,NSE3,PUBLICAR,NO
47300,CC,COLOMBIA,F,01/03/1999,SB11201820299034,COLOMBIA,No,Estrato 2,5 a 6,No,Si,No,0 A 10 LIBROS,Entre 1 y 2 horas,Más de 3 horas,226936,INSTITUCION EDUCATIVA SUPIA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA SUPIA - SEDE PRINCIPAL,S,URBANO,TARDE,17777,SUPÍA,N,59,73,3,56,69,3,58,79,3,58,77,3,49,49,A1,285,75,2,46.55321447,NSE2,PUBLICAR,NO
